Total path distance: 2653775.73 meters

Vertex Coordinates (Pixel, Global):
Pixel: (472, 1087) -> Global: (73.856700, 18.520400)
Pixel: (472, 1086) -> Global: (73.835301, 18.520400)
Pixel: (472, 1085) -> Global: (73.813902, 18.520400)
Pixel: (472, 1084) -> Global: (73.792504, 18.520400)
Pixel: (472, 1083) -> Global: (73.771105, 18.520400)
Pixel: (473, 1082) -> Global: (73.749706, 18.508110)
Pixel: (474, 1081) -> Global: (73.728307, 18.495820)
Pixel: (475, 1080) -> Global: (73.706908, 18.483530)
Pixel: (476, 1079) -> Global: (73.685509, 18.471240)
Pixel: (477, 1078) -> Global: (73.664111, 18.458950)
Pixel: (478, 1077) -> Global: (73.642712, 18.446660)
Pixel: (479, 1076) -> Global: (73.621313, 18.434371)
Pixel: (480, 1075) -> Global: (73.599914, 18.422081)
Pixel: (481, 1074) -> Global: (73.578515, 18.409791)
Pixel: (482, 1073) -> Global: (73.557116, 18.397501)
Pixel: (483, 1073) -> Global: (73.557116, 18.385211)
Pixel: (484, 1073) -> Global: (73.557116, 18.372921)
Pixel: (485, 1073) -> Global: (73.557116, 18.360631)
Pixel: (486, 1073) -> Global: (73.557116, 18.348341)
Pixel: (487, 1072) -> Global: (73.535718, 18.336051)
Pixel: (488, 1072) -> Global: (73.535718, 18.323761)
Pixel: (489, 1072) -> Global: (73.535718, 18.311471)
Pixel: (490, 1072) -> Global: (73.535718, 18.299181)
Pixel: (491, 1072) -> Global: (73.535718, 18.286891)
Pixel: (492, 1072) -> Global: (73.535718, 18.274601)
Pixel: (493, 1072) -> Global: (73.535718, 18.262312)
Pixel: (494, 1072) -> Global: (73.535718, 18.250022)
Pixel: (495, 1072) -> Global: (73.535718, 18.237732)
Pixel: (496, 1071) -> Global: (73.514319, 18.225442)
Pixel: (497, 1070) -> Global: (73.492920, 18.213152)
Pixel: (498, 1069) -> Global: (73.471521, 18.200862)
Pixel: (499, 1068) -> Global: (73.450122, 18.188572)
Pixel: (500, 1067) -> Global: (73.428723, 18.176282)
Pixel: (501, 1066) -> Global: (73.407325, 18.163992)
Pixel: (502, 1065) -> Global: (73.385926, 18.151702)
Pixel: (503, 1064) -> Global: (73.364527, 18.139412)
Pixel: (504, 1063) -> Global: (73.343128, 18.127122)
Pixel: (505, 1062) -> Global: (73.321729, 18.114832)
Pixel: (506, 1061) -> Global: (73.300330, 18.102543)
Pixel: (507, 1060) -> Global: (73.278932, 18.090253)
Pixel: (508, 1059) -> Global: (73.257533, 18.077963)
Pixel: (509, 1058) -> Global: (73.236134, 18.065673)
Pixel: (510, 1057) -> Global: (73.214735, 18.053383)
Pixel: (511, 1056) -> Global: (73.193336, 18.041093)
Pixel: (512, 1055) -> Global: (73.171937, 18.028803)
Pixel: (513, 1054) -> Global: (73.150539, 18.016513)
Pixel: (513, 1053) -> Global: (73.129140, 18.016513)
Pixel: (513, 1052) -> Global: (73.107741, 18.016513)
Pixel: (513, 1051) -> Global: (73.086342, 18.016513)
Pixel: (513, 1050) -> Global: (73.064943, 18.016513)
Pixel: (513, 1049) -> Global: (73.043544, 18.016513)
Pixel: (512, 1048) -> Global: (73.022146, 18.028803)
Pixel: (512, 1047) -> Global: (73.000747, 18.028803)
Pixel: (512, 1046) -> Global: (72.979348, 18.028803)
Pixel: (512, 1045) -> Global: (72.957949, 18.028803)
